,Temporada,Región,Provincia,Comuna,Fecha_de_inicio,Fecha_de_detección,Fecha_de_extinción,Latitud,Longitud,Fecha_de_Proceso,Clima
0,2017-18,Los Lagos,Llanquihue,Puerto Montt,28-sep-2017 20:50,28-sep-2017 20:55,29-sep-2017 11:06,-41.44527687233669,-72.81697690216481,08-11-2022,
1,2017-18,Los Lagos,Chiloé,Castro,10-nov-2017 18:20,10-nov-2017 18:25,11-nov-2017 09:38,-42.53965932976798,-73.69259885838532,08-11-2022,
2,2017-18,Los Lagos,Llanquihue,Puerto Varas,11-nov-2017 15:25,11-nov-2017 15:28,12-nov-2017 14:05,-41.371669594651436,-72.91333697864079,08-11-2022,
3,2017-18,Los Lagos,Palena,Chaitén,11-nov-2017 15:10,11-nov-2017 15:55,12-nov-2017 16:15,-42.9452780972378,-72.72777686488065,08-11-2022,
4,2017-18,Los Lagos,Chiloé,Castro,11-nov-2017 19:00,11-nov-2017 19:05,16-nov-2017 15:32,-42.45278072986995,-73.72611144650608,08-11-2022,
5,2017-18,Los Lagos,Chiloé,Castro,13-nov-2017 15:10,13-nov-2017 15:12,16-nov-2017 14:54,-42.43166805025139,-73.7169472999203,08-11-2022,
6,2017-18,Los Lagos,Chiloé,Castro,13-nov-2017 17:18,13-nov-2017 17:20,17-nov-2017 15:45,-42.46555224667573,-73.71333624339123,08-11-2022,
7,2017-18,Los Lagos,Chiloé,Castro,13-nov-2017 21:30,13-nov-2017 21:40,16-nov-2017 14:32,-42.408612686654706,-73.72416197650729,08-11-2022,
8,2017-18,Los Lagos,Llanquihue,Puerto Varas,14-nov-2017 14:17,14-nov-2017 14:20,15-nov-2017 16:12,-41.382748289633966,-72.92330318120773,08-11-2022,
9,2017-18,Los Lagos,Chiloé,Castro,14-nov-2017 14:55,14-nov-2017 14:57,16-nov-2017 15:18,-42.46552595790813,-73.70221933775811,08-11-2022,
10,2017-18,Los Lagos,Chiloé,Castro,15-nov-2017 15:15,15-nov-2017 15:35,15-nov-2017 18:00,-42.52277606339521,-73.59833012164196,08-11-2022,
11,2017-18,Los Lagos,Osorno,San Pablo,18-nov-2017 19:00,18-nov-2017 19:08,23-nov-2017 18:40,-40.3565505099896,-73.20407966466088,08-11-2022,
12,2017-18,Los Lagos,Llanquihue,Puerto Montt,20-nov-2017 18:20,20-nov-2017 18:25,20-nov-2017 19:20,-41.44258586121153,-72.92708143166915,08-11-2022,
13,2017-18,Los Lagos,Chiloé,Castro,20-nov-2017 19:28,20-nov-2017 19:32,20-nov-2017 21:00,-42.47583704942599,-73.77583879268794,08-11-2022,
14,2017-18,Los Lagos,Llanquihue,Puerto Montt,21-nov-2017 12:58,21-nov-2017 13:05,21-nov-2017 14:50,-41.431669730489524,-73.00500459083784,08-11-2022,
15,2017-18,Los Lagos,Llanquihue,Frutillar,21-nov-2017 16:03,21-nov-2017 16:05,22-nov-2017 12:30,-41.05721982459017,-73.19471917558128,08-11-2022,
16,2017-18,Los Lagos,Chiloé,Dalcahue,22-nov-2017 14:45,22-nov-2017 14:50,22-nov-2017 15:50,-42.36528031783488,-73.73833711532242,08-11-2022,
17,2017-18,Los Lagos,Llanquihue,Puerto Montt,22-nov-2017 16:05,22-nov-2017 16:10,22-nov-2017 17:30,-41.469913779381365,-73.02121974437085,08-11-2022,
18,2017-18,Los Lagos,Llanquihue,Puerto Montt,22-nov-2017 22:05,22-nov-2017 22:10,23-nov-2017 11:24,-41.441457050194344,-72.90752309912966,08-11-2022,
19,2017-18,Los Lagos,Chiloé,Chonchi,23-nov-2017 14:45,23-nov-2017 14:48,25-nov-2017 16:49,-42.53610701064908,-73.80694399183201,08-11-2022,
20,2017-18,Los Lagos,Llanquihue,Calbuco,23-nov-2017 12:20,23-nov-2017 12:21,23-nov-2017 17:20,-41.7463864590141,-73.38416154136772,08-11-2022,
21,2017-18,Los Lagos,Llanquihue,Puerto Montt,23-nov-2017 18:05,23-nov-2017 18:20,24-nov-2017 15:51,-41.5262754770001,-72.75902763975748,08-11-2022,
22,2017-18,Los Lagos,Chiloé,Castro,24-nov-2017 16:30,24-nov-2017 16:35,25-nov-2017 17:56,-42.478194090964095,-73.77056146959131,08-11-2022,
23,2017-18,Los Lagos,Osorno,Río Negro,24-nov-2017 18:15,24-nov-2017 18:17,25-nov-2017 10:56,-40.68893656471278,-73.26042502841032,08-11-2022,
24,2017-18,Los Lagos,Llanquihue,Calbuco,25-nov-2017 14:00,25-nov-2017 14:20,25-nov-2017 17:22,-41.746501982183496,-73.38405040497685,08-11-2022,
25,2017-18,Los Lagos,Palena,Palena,26-nov-2017 19:15,26-nov-2017 19:18,19-dic-2017 21:02,-43.63666567207981,-77.93158701461023,08-11-2022,
26,2017-18,Los Lagos,Llanquihue,Puerto Montt,27-nov-2017 12:15,27-nov-2017 12:18,30-nov-2017 16:22,-41.44630847714249,-72.91627322851244,08-11-2022,
27,2017-18,Los Lagos,Chiloé,Castro,27-nov-2017 15:30,27-nov-2017 15:35,28-nov-2017 14:15,-42.52583561944744,-73.59666676688158,08-11-2022,
28,2017-18,Los Lagos,Palena,Palena,28-nov-2017 15:50,28-nov-2017 16:00,19-dic-2017 21:00,-43.58833481991924,-77.81999961467834,08-11-2022,
29,2017-18,Los Lagos,Chiloé,Castro,28-nov-2017 16:50,28-nov-2017 16:51,29-nov-2017 10:30,-42.46555293206194,-73.71500263070462,08-11-2022,
30,2017-18,Los Lagos,Llanquihue,Puerto Varas,28-nov-2017 17:40,28-nov-2017 17:47,29-nov-2017 15:30,-41.38333383032406,-72.93832890808179,08-11-2022,
31,2017-18,Los Lagos,Osorno,San Juan de la Costa,28-nov-2017 16:10,28-nov-2017 16:15,29-nov-2017 15:48,-40.49065101627751,-73.40750188423179,08-11-2022,
32,2017-18,Los Lagos,Llanquihue,Puerto Montt,28-nov-2017 19:00,28-nov-2017 19:10,28-nov-2017 20:30,-41.44789109887778,-72.96644019443198,08-11-2022,
33,2017-18,Los Lagos,Palena,Chaitén,28-nov-2017 23:08,28-nov-2017 23:10,30-nov-2017 00:00,-42.93027402483769,-72.71861124484775,08-11-2022,
34,2017-18,Los Lagos,Chiloé,Chonchi,29-nov-2017 16:30,29-nov-2017 16:35,30-nov-2017 15:20,-42.579718898775404,-73.8624962021367,08-11-2022,
35,2017-18,Los Lagos,Chiloé,Dalcahue,30-nov-2017 17:20,30-nov-2017 17:25,1-dic-2017 11:55,-42.29250106458351,-73.6994460379011,08-11-2022,
36,2017-18,Los Lagos,Palena,Palena,30-nov-2017 18:50,30-nov-2017 18:55,19-dic-2017 21:05,-43.582552783964154,-72.03347708929213,08-11-2022,
37,2017-18,Los Lagos,Llanquihue,Puerto Montt,1-dic-2017 17:35,1-dic-2017 17:38,5-dic-2017 13:54,-41.41111517781422,-72.91110560542043,08-11-2022,
38,2017-18,Los Lagos,Llanquihue,Puerto Montt,1-dic-2017 18:30,1-dic-2017 18:35,1-dic-2017 20:07,-41.47305416461881,-72.99092193838771,08-11-2022,
39,2017-18,Los Lagos,Llanquihue,Calbuco,1-dic-2017 20:00,1-dic-2017 20:05,15-dic-2017 17:03,-41.6438893646573,-73.15000053098186,08-11-2022,
40,2017-18,Los Lagos,Chiloé,Chonchi,1-dic-2017 23:33,1-dic-2017 23:37,2-dic-2017 11:46,-42.52139278018678,-73.83416593318587,08-11-2022,
41,2017-18,Los Lagos,Chiloé,Chonchi,2-dic-2017 23:35,2-dic-2017 23:40,6-dic-2017 15:45,-42.53166664502588,-73.83666583608446,08-11-2022,
42,2017-18,Los Lagos,Chiloé,Dalcahue,3-dic-2017 19:00,3-dic-2017 19:08,3-dic-2017 21:12,-42.303893011755484,-73.71055528546424,08-11-2022,
43,2017-18,Los Lagos,Chiloé,Castro,3-dic-2017 19:28,3-dic-2017 19:29,5-dic-2017 17:25,-42.5277774096635,-73.78472374892391,08-11-2022,
44,2017-18,Los Lagos,Llanquihue,Maullín,5-dic-2017 06:00,5-dic-2017 06:10,6-dic-2017 17:25,-41.643609251504834,-73.57683453061684,08-11-2022,
45,2017-18,Los Lagos,Llanquihue,Puerto Varas,5-dic-2017 15:15,5-dic-2017 15:19,5-dic-2017 16:15,-41.38527764080995,-72.92221808949213,08-11-2022,
46,2017-18,Los Lagos,Chiloé,Ancud,6-dic-2017 13:45,6-dic-2017 13:47,6-dic-2017 15:20,-41.87666615395941,-73.90250312644847,08-11-2022,
47,2017-18,Los Lagos,Chiloé,Castro,7-dic-2017 17:35,7-dic-2017 17:43,9-dic-2017 16:30,-42.431386744143204,-73.82333829051449,08-11-2022,
48,2017-18,Los Lagos,Llanquihue,Puerto Montt,8-dic-2017 08:15,8-dic-2017 08:25,8-dic-2017 09:46,-41.47599727023925,-72.89072359453628,08-11-2022,
